row_id,title,text,subject,label,predicted_label,true_label_name,predicted_label_name,error_type,content_len
26827,Graphic: Supreme Court roundup, ,politicsNews,1,0,Real,Fake,False Positive (Real predicted as Fake),30
21668,Russia's response to Trump leak reports: don't read U.S. newspapers,"(Reuters) - A Russian Foreign Ministry spokeswoman on Tuesday advised that people don’t read American newspapers, in response to U.S. media reports that President Donald Trump had disclosed classified intelligence at a meeting with Russian officials. The spokeswoman, Maria Zakharova, said she had received dozens of messages asking about the reports, which have been denied by the White House.  “Guys, have you been reading American newspapers again?” she wrote on her Facebook page. “You shouldn’t read them. You can put them to various uses, but you shouldn’t read them. Lately it’s become not only harmful, but dangerous too.” ",politicsNews,1,0,Real,Fake,False Positive (Real predicted as Fake),697
16135,"BAN THE BURQA! Women Wearing A Burqa In Switzerland Could Face $9,000 Fine","Do you agree with Switzerland s decision? Should America follow suit with European countries who are saying  no  to the burqa?Women who wear burqas and full face veils in public in a Swiss state could be fined up to $9000 under new rules imposed after a local referendum.Females muslims will be banned from wearing the burqa in shops, restaurants or public buildings in the Italian-speaking canton of Ticino.The local government in the southern Swiss state approved the ban after a referendum in September 2013 saw two in three voters backing the move.According to the Local, the Ticino government had wanted to ban burqas and niqabs as well as masks worn by demonstrators and balaclavas. Via: 911 ",Government News,0,1,Fake,Real,False Negative (Fake predicted as Real),770
11414,TRUMP TELLS State Department To Make CUT More Than 50% Of Funding To U.N.,"President Trump s administration has told the State Department to cut more than 50 percent of U.S. funding to United Nations programs, Foreign Policy reported.The push for the drastic reductions comes as the White House is scheduled to release its 2018 topline budget proposal Thursday, which is expected to include a 37 percent cut to the State Department and U.S. Agency for International Development budgets.It s not clear if Trump s budget plan, from the Office of Management and Budget, would reflect the full extent of Trump s proposed cuts to the U.N.Richard Gowan, a U.N. expert at the European Council on Foreign Relations, said the alterations would spark  chaos  if true. [It would] leave a gaping hole that other big donors would struggle to fill,  he told FP, pointing to how the U.S. provided $1.5 billion of the U.N. refugee agency s $4 billion budget last year.Via: The Hill",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),961
12690,DEMOCRAT THUGS VANDALIZE REPUBLICAN Offices Across Several States…Now Who’s “Deplorable”?,"NC REPUBLICAN HEADQUARTERS Firebombed By The Terrorists On The LeftINDIANA REPUBLICAN OFFICE VANDALIZED:DELAWARE COUNTY, Ind.   The Delaware County Republican Party said vandals struck at their office last week.Someone threw two landscaping bricks through a window on Oct. 8. Signs for Donald Trump and Todd Young were hanging on the window at the time, according to the group s Facebook page.Officials said it would cost about $1,200 to replace the broken window and said anyone interested in helping cover the cost could donate online.This week, Delaware County Sheriff Ray Dudley said his office has received reports of campaign signs being taken from yards in the Yorktown and Mount Pleasant Township area.Dudley said the reports were being taken seriously and that removing signs without the authority to do so may be criminal conversion under Indiana s criminal code. Via: FOX59",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),972
10253,PRESIDENT TRUMP Looking at Executive Action on Obamacare,"Remember during the effort to get Obamacare passed when Nancy Pelosi said: We ll go through the gate. If the gate s closed, we ll go over the fence. If the fence is too high, we ll pole vault in. If that doesn t work, we ll parachute in but we re going to get health care reform passed for the America people. (at 1:10 mark)Well, now if looks like President Trump might  parachute in  to get rid of Obamacare U.S. Senator Rand Paul said he spoke to President Donald Trump by phone about healthcare reform on Monday and told the president he thought Trump had the authority to create associations that would allow organizations to offer group health insurance plans.Paul, a Republican, told reporters that Trump was considering taking some form of executive action to address problems with the healthcare system after the Senate failed last week to pass a measure to reform the system.Allowing groups like AARP, which represents retirees, to form health associations could enable individuals and small businesses to form larger groups to negotiate with health insurance companies for lower rates.Via: Reuters ",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),1162
10517,TRUMP ADVISOR Has Warning For Syria That Has Saved Lives [Video],"Deputy Assistant to the President Sebastian Gorka warned Syrian President Bashar Assad after evidence arose earlier this week that the Assad regime could be planning another chemical weapons attack on its people. Gorka says,  if you do this again, there will be significant damage done to your forces and to your interests. We are there to destroy Isis.  CHEMICAL WEAPONS DEVELOPMENT? SYRIA S ASSAD COULD BE PLANNING ANOTHER ATTACK: Pentagon spokesman Captain Jeff Davis said the United States had recently seen activity at Shayrat airfield, the same base targeted by a U.S. cruise missile strike on April 6. This involved specific aircraft in a specific hangar, both of which we know to be associated with chemical weapons use,  Davis said.Davis said the activity occurred during  the past day or two.  He did not say how the United States collected its intelligence.The White House said on Monday it appeared the Syrian government was preparing for another chemical weapons attack and warned Assad that he and his military would  pay a heavy price  if it went ahead.REMEMBER WHEN WE HAD A COMMANDER-IN-CHIEF WHO DECIDED HE WOULDN T HONOR HIS THREAT TO SYRIA:THE RED LINE READ MORE: REUTERS",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),1249
12199,GREAT! PRO-COAL OKLAHOMA AG Tapped For Head Of EPA," When the Environmental Protection Agency proposed rules regulating carbon dioxide emissions from coal-fired power plants, Scott Pruitt sued. When the Justice Department offered legal status to young undocumented immigrants, Scott Pruitt sued. And when the Obama administration sought to give tax credits to states that hadn t set up their own health insurance exchanges, Scott Pruitt sued.Since becoming Oklahoma attorney general in 2010, Pruitt has filed or joined lawsuits against federal agencies at least a dozen times. Even when Oklahoma isn t an actual party in litigation, the state often submits a legal brief against the federal government. Besides air pollution, immigration and health care, Pruitt has fought federal laws and regulations on banking, contraception and endangered species. These days, whenever states go to court against the Obama administration, the chances are that Pruitt is somehow involved.Not that Pruitt is alone. During Obama s presidency, the entire cadre of Republican attorneys general (27 at present) has coordinated cases against federal agencies at an unprecedented pace. But Pruitt is at the center of the action. He has set up a first-in-the-nation  federalism unit,  which seeks to combat instances of federal overreach by every possible means.Read more: Governing",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),1356
14611,BREAKING: NORTH KOREA Detains American Student For “Hostile Act”,"Apparently it takes just one American student to destroy the unity in North Korea:North Korea has detained a U.S. university student, the third western citizen known to be held in the isolated state, for committing a  hostile act  and wanting to  destroy the country s unity , it said on Friday.and was detained at Pyongyang airport on Jan. 2 ahead of a flight back to China, said Gareth Johnson of Young Pioneer Tours, which organized the visit.According to the North s official KCNA news agency, Warmbier entered North Korea as a tourist and  was caught committing a hostile act against the state , which it said was  tolerated and manipulated by the U.S. government .ADVERTISINGAn official at the U.S. embassy in the South Korean capital Seoul said it was aware of the reported arrest. The U.S. State Department in Washington had no immediate comment.Johnson said China-based Young Pioneer Tours was in contact with Warmbier s family and U.S. officials. We are in touch with Otto s family, the U.S. State Department and the Embassy of Sweden in Pyongyang and doing all we can to secure his release,  Johnson told Reuters.The Swedish Embassy represents U.S. interests in North Korea.KCNA said Warmbier had entered the country with an  aim to destroy the country s unity . It did not elaborate.Via: Reuters",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),1365
11796,TRUMP’S UN AMBASSADOR Nikki Haley Warns UN Members: “We’re Taking Names”,"New US Ambassador Nikki Haley strutted into the UN on Friday with a blunt message to American allies:  For those who don t have our backs, we re taking names. The former South Carolina governor made the remark to reporters as she arrived at the world body s headquarters in Manhattan to present her credentials to UN Secretary-General Antonio Guterres. Our goal with the administration is to show value at the UN and the way that we ll show value is to show our strength, show our voice, have the backs of our allies and make sure that our allies have our back as well,  she said. For those that don t have our back, we re taking names, we will make points to respond to that accordingly,  President Trump s envoy said.She said Trump wants her to put  fresh eyes  on the UN. Everything that s working, we re going to make it better,  she said.  Everything that s not working we re going to try to fix, and anything that seems to be obsolete and not necessary we re going to do away with. She then hopped on an elevator and went to the 38th floor to meet Guterres, who became UN chief on Jan. 1. They then went into his office for a private sit-down. There have been reports that the White House is poised to demand major cutbacks in UN agencies and personnel in slashing Washington s financial contributions to the organization.  NYP",politics,0,1,Fake,Real,False Negative (Fake predicted as Real),1398
